metric,value,category
total_vulnerabilities,1607,overall
overdue_vulnerabilities,1594,timeliness
due_within_30_days,13,timeliness
known_ransomware_campaign_use,325,threat_context
priority_high,1273,priority_bucket
priority_critical,323,priority_bucket
priority_medium,11,priority_bucket
top_vendor_Microsoft,377,vendor_project
top_vendor_Apple,93,vendor_project
top_vendor_Cisco,90,vendor_project
top_vendor_Adobe,79,vendor_project
top_vendor_Google,71,vendor_project
top_vendor_Oracle,42,vendor_project
top_vendor_Apache,39,vendor_project
top_vendor_Ivanti,34,vendor_project
top_vendor_D-Link,26,vendor_project
top_vendor_Fortinet,26,vendor_project
