run_timestamp,raw_file,processed_file,status,error_message
2026-05-22_154011,data\raw\api_data_2026-05-22_154013.json,data\processed\repo_summary_2026-05-22_154021.csv,success,
2026-05-22_221546,data\raw\api_data_2026-05-22_221546.json,data\processed\repo_summary_2026-05-22_221548.csv,success,
2026-05-24_171204,data\raw\api_data_2026-05-24_171205.json,data\processed\repo_summary_2026-05-24_171207.csv,success,
2026-05-24_173338,data\raw\api_data_2026-05-24_173339.json,data\processed\repo_summary_2026-05-24_173340.csv,success,
2026-05-24_174443,data\raw\api_data_2026-05-24_174444.json,data\processed\repo_summary_2026-05-24_174445.csv,success,
2026-05-24_180645,data\raw\api_data_2026-05-24_180646.json,data\processed\repo_summary_2026-05-24_180647.csv,success,
2026-05-24_181544,data\raw\api_data_2026-05-24_181545.json,data\processed\repo_summary_2026-05-24_181546.csv,success,
2026-05-24_191702,data\raw\api_data_2026-05-24_191703.json,data\processed\repo_summary_2026-05-24_191704.csv,success,
2026-05-24_194137,data\raw\api_data_2026-05-24_194138.json,data\processed\repo_summary_2026-05-24_194139.csv,success,
2026-05-24_195744,github=data\raw\api_data_2026-05-24_195745.json; kev=data\raw\kev_data_2026-05-24_195748.json,github=data\processed\repo_summary_2026-05-24_195746.csv; kev=data\processed\kev_summary_2026-05-24_195749.csv,success,
2026-05-24_201709,github=data\raw\api_data_2026-05-24_201710.json; kev=data\raw\kev_data_2026-05-24_201713.json,github=data\processed\repo_summary_2026-05-24_201712.csv; kev=data\processed\kev_summary_2026-05-24_201714.csv,success,
2026-05-24_202745,github=data\raw\api_data_2026-05-24_202746.json; kev=data\raw\kev_data_2026-05-24_202748.json,github=data\processed\repo_summary_2026-05-24_202747.csv; kev=data\processed\kev_summary_2026-05-24_202749.csv,success,
2026-05-24_203056,github=data\raw\api_data_2026-05-24_203056.json; kev=data\raw\kev_data_2026-05-24_203059.json,github=data\processed\repo_summary_2026-05-24_203057.csv; kev=data\processed\kev_summary_2026-05-24_203100.csv,success,
2026-05-24_203453,github=data\raw\api_data_2026-05-24_203454.json; kev=data\raw\kev_data_2026-05-24_203501.json,github=data\processed\repo_summary_2026-05-24_203456.csv; kev=data\processed\kev_summary_2026-05-24_203503.csv,success,
2026-05-27_033330,github=data\raw\api_data_2026-05-27_033331.json; kev=data\raw\kev_data_2026-05-27_033334.json,github=data\processed\repo_summary_2026-05-27_033332.csv; kev=data\processed\kev_summary_2026-05-27_033335.csv,success,
2026-05-27_035728,github=data\raw\api_data_2026-05-27_035729.json; kev=data\raw\kev_data_2026-05-27_035735.json,github=data\processed\repo_summary_2026-05-27_035732.csv; kev=data\processed\kev_summary_2026-05-27_035736.csv,success,
2026-05-27_200501,github=data\raw\api_data_2026-05-27_200502.json; kev=data\raw\kev_data_2026-05-27_200505.json,github=data\processed\repo_summary_2026-05-27_200503.csv; kev=data\processed\kev_summary_2026-05-27_200506.csv,success,
2026-05-28_094529,github=data\raw\api_data_2026-05-28_094530.json; kev=data\raw\kev_data_2026-05-28_094533.json,github=data\processed\repo_summary_2026-05-28_094531.csv; kev=data\processed\kev_summary_2026-05-28_094534.csv,success,
2026-05-28_115917,github=data\raw\api_data_2026-05-28_115918.json; kev=data\raw\kev_data_2026-05-28_115921.json,github=data\processed\repo_summary_2026-05-28_115919.csv; kev=data\processed\kev_summary_2026-05-28_115922.csv,success,
